Company Name,Industry,Symbol,Series,ISIN Code
A and M Jumbo Bags Ltd.,INDUSTRIAL MANUFACTURING,AMJUMBO,SM,INE749Y01014
ANI Integrated Services Ltd.,SERVICES,AISL,SM,INE635Y01015
ASL Industries Ltd.,AUTOMOBILE,ASLIND,SM,INE617I01024
AVG Logistics Ltd.,SERVICES,AVG,SM,INE680Z01018
Aakash Exploration Services Ltd.,ENERGY,AAKASH,SM,INE087Z01016
Aarvi Encon Ltd.,SERVICES,AARVI,SM,INE754X01016
Accord Synergy Ltd.,SERVICES,ACCORD,SM,INE113X01015
Ace Integrated Solutions Ltd.,SERVICES,ACEINTEG,SM,INE543V01017
Agro Phos India Ltd.,FERTILISERS & PESTICIDES,AGROPHOS,SM,INE740V01019
Airan Ltd.,IT,AIRAN,SM,INE645W01026
Airo Lam Ltd.,CONSUMER GOODS,AIROLAM,SM,INE801L01010
Ajooni Biotech Ltd.,CONSUMER GOODS,AJOONI,SM,INE820Y01013
Akash infra projects ltd.,CONSTRUCTION,AKASH,SM,INE737W01013
Arvee Laboratories (India) Ltd.,CHEMICALS,ARVEE,SM,INE006Z01016
Aurangabad Distillery Ltd.,CONSUMER GOODS,AURDIS,SM,INE448V01019
